Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
0,5,9,0,0,8.81,704490.0,363889.0,26.0,0
0,0,9,1,1,8.41,179899.0,111187.0,1.0,0
0,5,6,2,2,8.31,372709.0,197451.0,26.0,0
0,5,9,0,0,7.34,74889.0,31875.0,26.0,0
0,5,6,3,3,8.05,106468.0,48765.0,145.0,0
1,5,6,4,4,8.14,160236.0,54367.0,24.0,0
0,5,6,5,5,8.24,64338.0,37575.0,24.0,0
2,5,6,6,2,8.69,352153.0,118553.0,74.0,0
0,5,6,3,6,7.88,975394.0,645672.0,220.0,0
0,5,6,7,7,8.01,107296.0,48076.0,178.0,0
1,5,6,3,8,8.02,214291.0,101509.0,26.0,0
0,5,6,8,9,7.52,83460.0,34345.0,24.0,0
0,5,9,9,2,7.78,126309.0,29698.0,22.0,0
0,5,9,9,2,7.78,126309.0,29698.0,22.0,0
1,5,6,3,0,8.02,62224.0,26509.0,69.0,0
0,5,6,10,10,7.54,11768.0,4148.0,26.0,1
0,5,9,3,11,8.32,638943.0,362916.0,26.0,0
2,0,9,11,11,7.5,121746.0,70336.0,1.0,0
3,0,9,3,11,8.48,295214.0,193277.0,1.0,0
0,5,6,6,12,8.45,301328.0,153543.0,25.0,0
0,0,6,0,13,8.35,328965.0,182385.0,1.0,0
0,3,6,12,10,8.79,166944.0,89007.0,4.0,0
0,5,6,12,3,8.4,274956.0,135492.0,94.0,0
4,0,6,13,3,7.63,37273.0,20921.0,1.0,0
0,0,6,14,14,8.16,309004.0,190158.0,1.0,0
5,5,9,0,15,7.09,129203.0,61438.0,26.0,0
1,3,6,0,16,7.38,38999.0,20917.0,5.0,0
1,5,6,0,16,7.43,111950.0,57230.0,24.0,0
0,3,6,0,17,6.42,39332.0,23142.0,3.0,0
3,5,6,15,1,7.31,44193.0,22155.0,26.0,0
1,5,6,11,4,7.21,77802.0,39120.0,24.0,0
0,0,6,14,18,7.19,55642.0,33806.0,1.0,0
0,5,4,16,15,6.6,11894.0,4313.0,26.0,1
6,5,9,7,15,5.97,13734.0,5304.0,13.0,1
1,5,6,10,2,8.37,184445.0,86919.0,26.0,0
6,5,9,17,16,7.11,50597.0,20557.0,26.0,0
3,5,6,18,2,7.53,317260.0,175227.0,26.0,0
0,5,6,19,9,7.76,165218.0,78730.0,24.0,0
0,5,6,19,9,7.76,165218.0,78730.0,24.0,0
0,5,6,20,19,7.31,142935.0,75971.0,26.0,0
7,5,12,19,20,6.87,56434.0,24042.0,26.0,0
3,5,6,0,21,6.74,105654.0,59210.0,12.0,0
0,5,6,21,22,7.53,148037.0,74244.0,12.0,0
0,5,6,21,22,7.74,81329.0,47114.0,12.0,0
8,5,0,4,4,8.04,203059.0,97220.0,26.0,0
0,5,6,8,9,7.66,124967.0,54403.0,24.0,0
6,5,6,8,9,7.49,181644.0,89095.0,23.0,0
0,5,9,0,0,6.45,7831.0,2183.0,25.0,1
0,5,5,20,9,7.75,317099.0,167246.0,24.0,0
0,5,5,20,9,7.75,317099.0,167246.0,24.0,0
0,5,5,22,23,8.16,203721.0,127214.0,12.0,0
0,5,5,20,23,8.03,184261.0,109315.0,13.0,0
1,5,6,12,24,7.77,62865.0,33204.0,26.0,0
0,5,9,15,19,7.36,32492.0,10469.0,25.0,0
0,5,9,23,25,7.49,73306.0,31503.0,13.0,0
0,5,9,23,25,8.07,47811.0,25763.0,13.0,0
1,5,12,19,19,7.24,190598.0,96970.0,24.0,0
0,5,9,24,0,7.87,66802.0,29261.0,43.0,0
9,3,9,25,0,8.1,44047.0,24816.0,12.0,0
9,3,9,0,0,7.87,29545.0,16209.0,6.0,0
9,0,9,24,0,6.92,9344.0,4800.0,1.0,1
9,3,9,0,0,7.42,24894.0,14133.0,13.0,0
9,5,9,24,0,8.02,37251.0,18568.0,50.0,0
10,5,9,24,0,6.76,21830.0,10131.0,47.0,0
9,0,8,24,0,7.77,24100.0,13934.0,1.0,0
9,0,8,24,0,7.77,24100.0,13934.0,1.0,0
9,0,15,24,0,6.81,16606.0,9124.0,1.0,0
9,5,9,26,0,6.89,15437.0,5743.0,51.0,0
0,5,9,26,0,7.84,102695.0,59837.0,49.0,0
0,3,9,0,0,7.86,33070.0,19807.0,3.0,0
3,5,9,26,0,7.38,22432.0,9860.0,39.0,0
0,5,9,24,0,7.88,113769.0,65828.0,50.0,0
