Codigo,Traducción
0,Bandai Visual
1,Sunrise
2,Victor Entertainment
3,TV Tokyo
4,Genco
5,OB Planning
6,VAP
7,Production I.G
8,GDH
9,Group TAC
10,Marvelous
11,Movic
12,Aniplex
13,Fuji TV
14,Mainichi Broadcasting System
15,TV Tokyo Music
16,Sony Pictures Entertainment
17,Youmex
18,TBS
19,Lantis
20,Kadokawa Shoten
21,Mellow Head
22,Tatsunoko Production
23,Starchild Records
24,Sotsu
25,Atelier Musa
26,TV Asahi
27,Pony Canyon
28,Animax
29,Nihon Ad Systems
30,Audio Tanaka
31,NHK
32,m.o.e.
33,Pioneer LDC
34,Trinet Entertainment
35,Media Factory
36,Studio Fantasia
37,Geneon Universal Entertainment
38,Toei Video
39,AIC
40,Sogo Vision
41,Rondo Robe
42,Broccoli
43,Avex Entertainment
44,Tokuma Shoten
45,Asatsu DK
46,Yomiko Advertising
47,Studio Izena
48,Discovery
49,WAO World
50,Happinet Pictures
51,Toho
52,Shueisha
53,Green Bunny
54,Shogakukan Productions
55,SOEISHINSHA
56,Toshiba Entertainment
57,Yomiuri Telecasting
58,KSS
59,Tohokushinsha Film Corporation
60,Hal Film Maker
61,gimik
62,Tokyo Movie Shinsha
63,Free-Will
64,d-rights
65,Imagica
66,Shochiku
67,Dentsu
68,Polygram Japan
69,Pink Pineapple
70,Trans Arts
71,Animate Film
72,Asahi Broadcasting
73,Nippon Television Network
74,Kansai Telecasting
75,Showgate
76,SME Visual Works
77,Studio Tulip
78,Idea Factory
79,Studio Nue
80,Square Enix
81,81 Produce
82,Kyoto Animation
83,CyberConnect2
84,Fuji Pacific Music Publishing
85,WOWOW
86,SKY Perfect Well Think
87,Network
88,Japan Home Video
89,Studio Jack
90,Soft Garage
91,Picture Magic
92,Synergy Japan
93,J.C.Staff
94,Four Some
95,Frontier Works
96,Bandai
97,Topcraft
98,San-X
99,Madhouse
100,Three Fat Samurai
101,Studio Take Off
102,Radix
103,Takeshobo
104,Kodansha
105,Kitty Films
106,DAX Production
107,TMS Entertainment
108,On-Lead
109,Memory-Tech
110,EMI
111,Ajia-Do
112,Milky Animation Label
113,Phoenix Entertainment
114,Echo
115,Media Rings
116,Kids Station
117,Shaft
118,Digital Works
119,Nippon Ichi Software
120,Hasbro
121,Dynamic Planning
122,Jade Animation
123,Capcom
124,T.P.O
125,Magic Capsule
126,Marine Entertainment
127,Daiei
128,NEC Avenue
129,Studio Comet
130,Studio Ghibli
131,Beyond C.
132,CherryLips
133,Sony Music Entertainment
134,Animation Do
135,Sanctuary
136,SoftX
137,Darts
138,Shuuhei Morita
139,Sav! The World Productions
140,Toei Animation
141,Teichiku Entertainment
142,Actas
143,AT-X
144,Kitty Media
145,BMG Japan
146,DiC Entertainment
147,Nippon Columbia
148,Artmic
149,"Yamamura Animation, Inc."
150,D3
151,Silky’s
152,Bee Train
153,Half H.P Studio
154,Viz Media
155,Tezuka Productions
156,Konami
157,Ginga Ya
158,Akita Shoten
159,APPP
160,Delfi Sound
161,Tokyo Kids
162,GANSIS
163,GAGA
164,Natural High
165,Front Line
166,Nagoya TV Housou
167,Alchemist
168,TV Osaka
169,Sotsu Music Publishing
170,Milky Cartoon
171,TMS-Kyokuchi
172,Kokusai Eigasha
173,Trinity Sound
174,Yomiuri Advertising
175,BEAM Entertainment
176,North Stars Pictures
177,RCC Chugoku Broadcasting
178,GEN Productions
179,Asmik Ace Entertainment
180,Rakuonsha
181,NHK-BS2
182,Toshiba EMI
183,Atlus
184,NuTech Digital
185,Sega
186,Mushi Production
187,Datam Polystar
188,Imagin
189,ASCII Media Works
190,Nihikime no Dozeu
191,KlockWorx
192,Sunny Side Up
193,Nelvana
194,Big Bang
195,Imagi
196,Ashi Production
197,Asahi Production
198,Telescreen BV
199,Plum
200,CBC
201,Sanrio
202,Active
203,KENMedia
204,Gakken
205,Tokuma Japan
206,Studio Tron
207,Agent 21
208,Bee Media
209,Meiji Seika
210,Daiichikosho
211,Yellow Film
