Codigo,Traducción
0,Sunrise
1,Bones
2,Madhouse
3,Studio Gallop
4,J.C.Staff
5,A.C.G.T.
6,Studio Pierrot
7,Trans Arts
8,Studio Comet
9,Gonzo
10,Studio Deen
11,Gainax
12,OLM
13,Production I.G
14,Tokyo Movie Shinsha
15,Bee Train
16,AIC
17,Hal Film Maker
18,Digital Frontier
19,Xebec
20,feel.
21,Daume
22,Nomad
23,Kyoto Animation
24,Group TAC
25,Seven Arcs
26,TMS Entertainment
27,Nippon Animation
28,Imagin
29,Zexcs
30,Telecom Animation Film
31,ufotable
32,Studio Matrix
33,TNK
34,Toei Animation
35,Studio Fantasia
36,Studio Ghibli
37,Production Reed
38,Pastel
39,Satelight
40,Arms
41,Manglobe
42,APPP
43,Chaos Project
44,Tokyo Kids
45,Palm Studio
46,AIC Spirits
47,Shin-Ei Animation
48,Studio Hibari
49,Radix
50,Triangle Staff
51,E&amp;G Films
52,M.S.C
53,Magic Bus
54,Actas
55,Tatsunoko Production
56,AIC A.S.T.A.
57,WAO World
58,Studio 4°C
59,Ashi Production
60,Arcs Create
61,Plum
62,Artland
63,Brain&#039;s Base
64,Shaft
65,Eiken
66,Trinet Entertainment
67,Studio Junio
68,Studio Flag
69,Zero-G Room
70,SynergySP
71,Ajia-Do
72,Creators Dot Com
73,Y.O.U.C
74,Studio Live
75,OLM Digital
76,Remic
77,Enoki Films
78,Studio Jam
79,T.P.O
80,Oh! Production
81,Agent 21
82,Studio Egg
83,Yamato Works
84,ACC Production
85,Tamura Shigeru Studio
86,Bee Media
87,The Answer Studio
88,Darts
89,D.A.S.T.
90,Phoenix Entertainment
91,Square Enix
92,Tezuka Productions
93,Azeta Pictures
94,AT-2
95,Planet
96,Artmic
97,Yumeta Company
98,Ishimori Entertainment
99,JCF
100,Office Take Off
101,Sugar Boy
102,Studio Z5
103,Vega Entertainment
104,Japan Vistec
105,Echo
106,Ginga Ya
107,Kitty Films
108,Genco
109,T-Rex
110,Studio G-1Neo
111,Front Line
112,Anime R
113,Asread
114,Picture Magic
115,Image House
116,Ishikawa Pro
117,Mook DLE
118,Pierrot Plus
119,Animate Film
120,Big Bang
121,Studio OX
122,Tsuchida Productions
123,P.A. Works
124,Himajin Planning
125,Lilix
126,Telescreen BV
127,A-1 Pictures
128,Venet
129,Visual 80
130,Studio Sign
131,Mushi Production
132,Diomedea
133,Flavors Soft
134,Studio Core
135,Studio 9 MAiami
136,Studio Wombat
137,Triple X
138,Oxybot
139,Sunwoo Entertainment
140,Khara
141,Shochiku Animation Institute
142,Topcraft
143,Japan Taps
144,8bit
145,Studio Bogey
146,Doga Kobo
147,Piko Studio
148,Think Corporation
149,Studio Rikka
150,Kazuki Production
151,PrimeTime
152,Anpro
153,Asahi Production
154,White Fox
155,Blue Cat
156,Suzuki Mirano
157,Kokusai Eigasha
158,GEN Productions
159,DAX Production
160,Daichi Doga
161,Studio Eromatick
162,Anime Antenna Iinkai
163,Oz
164,Green Bunny
165,Office Takeout
166,DLE
167,Aubec
168,Tele-Cartoon Japan
169,Egg
170,Marza Animation Planet
171,David Production
172,AIC Plus+
173,Silver Link.
174,Heewon Entertainment
175,Pink Pineapple
176,Milky Cartoon
177,GoHands
178,Studio Anima
179,Tama Production
180,Studio Blanc
181,Future Planet
182,Indeprox
183,TYO Animations
184,Robot Communications
185,Hoods Entertainment
186,Ordet
187,Natural High
188,Sting Ray
189,Gathering
190,Panda Factory
191,G-Lam
192,Bridge
193,dwarf
194,Daewon Media
195,AIC Classic
196,Animaruya
197,TAKI Corporation
198,AIC Build
199,Life Work
200,Kinema Citrus
201,Kachidoki Studio
202,CoMix Wave Films
203,Seven
204,Studio Zero
205,Knack Productions
206,Lerche
207,B&amp;T
208,Jinnis Animation Studios
209,Digital Media Lab
